kp,kd,ki,stable_time,stable_ratio,mean_angle,max_angle,fallen,fallen_time,n_points
10,2,1.0,5.00,1.000,0.06,0.3,False,None,51
10,5,1.0,0.59,0.118,15.40,18.4,False,None,51
10,8,1.0,5.00,1.000,0.37,2.6,False,None,51
10,12,1.0,5.00,1.000,0.31,2.6,False,None,51
10,15,1.0,3.24,0.647,8.99,35.8,False,None,51
10,20,1.0,3.73,0.745,6.90,37.3,False,None,51
15,2,1.0,5.00,1.000,0.39,2.9,False,None,51
15,5,1.0,5.00,1.000,0.56,3.9,False,None,51
15,8,1.0,3.82,0.765,7.54,59.4,True,1.9625020027160645,51
15,12,1.0,3.24,0.647,10.24,53.9,True,0.6662020683288574,51
15,15,1.0,5.00,1.000,0.45,1.7,False,None,51
15,20,1.0,4.02,0.804,7.14,56.3,True,2.8612077236175537,51
20,2,1.0,5.00,1.000,1.06,6.6,False,None,51
20,5,1.0,5.00,1.000,0.28,1.3,False,None,51
20,8,1.0,5.00,1.000,0.57,8.0,False,None,51
20,12,1.0,4.90,0.980,1.62,10.0,False,None,51
20,15,1.0,4.80,0.961,2.55,16.1,False,None,51
20,20,1.0,5.00,1.000,0.35,2.4,False,None,51
25,2,1.0,5.00,1.000,0.05,0.6,False,None,51
25,5,1.0,5.00,1.000,0.38,2.6,False,None,51
25,8,1.0,5.00,1.000,2.24,7.3,False,None,51
25,12,1.0,5.00,1.000,0.32,1.6,False,None,51
25,15,1.0,5.00,1.000,0.23,2.2,False,None,51
25,20,1.0,4.80,0.961,1.17,21.4,False,None,51
30,2,1.0,4.90,0.980,1.81,40.7,True,0.4666438102722168,51
30,5,1.0,5.00,1.000,0.36,1.7,False,None,51
30,8,1.0,2.94,0.588,10.58,47.2,True,2.1639840602874756,51
30,12,1.0,5.00,1.000,3.55,7.5,False,None,51
30,15,1.0,5.00,1.000,0.37,1.6,False,None,51
30,20,1.0,4.80,0.961,0.86,12.6,False,None,51
40,2,1.0,5.00,1.000,0.69,1.8,False,None,51
40,5,1.0,5.00,1.000,0.36,2.8,False,None,51
40,8,1.0,5.00,1.000,1.49,7.7,False,None,51
40,12,1.0,3.92,0.784,6.59,45.1,True,3.96303391456604,51
40,15,1.0,4.90,0.980,1.74,39.1,False,None,51
40,20,1.0,4.80,0.961,2.26,25.6,False,None,51
50,2,1.0,4.80,0.961,1.48,24.9,False,None,51
50,5,1.0,5.00,1.000,0.90,3.8,False,None,51
50,8,1.0,5.00,1.000,0.84,3.2,False,None,51
50,12,1.0,4.51,0.902,2.75,37.6,False,None,51
50,15,1.0,4.90,0.980,1.00,14.9,False,None,51
50,20,1.0,4.41,0.882,4.35,47.9,True,4.864148139953613,51
