t,Angle,dAngle,P,I,D,k_speed,Speed,power,powerL,powerR,accX,accY,accZ,gyroX,gyroY,gyroZ
0.0008552074432373047,1.46,33.83,-14.61,0.0,-11.84,-0.0,0.0,-29.0,1471.0,1529.0,0.017,-1.29,0.1,33.83,81.63,5.76
0.0015120506286621094,2.68,5.93,-26.76,0.0,-2.08,-0.0,0.0,-31.0,1469.0,1531.0,-0.002,-1.296,-0.001,5.93,0.45,0.08
0.09945225715637207,4.3,-1.94,-43.01,0.0,0.68,-0.0,0.0,-46.0,1454.0,1546.0,-0.016,-1.298,0.114,-1.94,-0.04,-1.2
0.19786620140075684,1.09,-43.81,-10.88,0.0,15.33,-0.0,0.0,3.0,1503.0,1497.0,0.03,-1.303,0.166,-43.81,68.08,9.66
0.2984321117401123,-8.46,70.08,84.6,0.0,-24.53,-0.0,0.0,51.0,1551.0,1449.0,-0.003,-1.295,-0.148,70.08,19.25,3.31
0.39823102951049805,-1.91,53.3,19.1,0.0,-18.65,-0.0,0.0,0.0,1500.0,1500.0,0.14,-1.255,-0.045,53.3,36.1,0.08
0.4985971450805664,1.86,-10.73,-18.6,0.0,3.76,-0.0,0.0,-16.0,1484.0,1516.0,0.007,-1.297,-0.048,-10.73,-16.03,0.75
0.5982940196990967,3.97,-2.49,-39.69,0.0,0.87,-0.0,0.0,-42.0,1458.0,1542.0,-0.011,-1.296,0.018,-2.49,-1.56,-0.53
0.6988191604614258,3.48,-5.42,-34.81,0.0,1.9,-0.0,0.0,-36.0,1464.0,1536.0,0.004,-1.299,0.026,-5.42,-1.62,-0.77
0.7983272075653076,3.91,9.6,-39.06,0.0,-3.36,-0.0,0.0,-46.0,1454.0,1546.0,0.001,-1.286,0.078,9.6,-0.1,-0.1
0.8982760906219482,5.09,3.19,-50.92,0.0,-1.12,-0.0,0.0,-57.0,1443.0,1557.0,0.025,-1.332,0.28,3.19,2.71,-1.39
0.9980881214141846,4.23,7.7,-42.29,0.0,-2.7,-0.0,0.0,-49.0,1451.0,1549.0,0.017,-1.267,0.084,7.7,7.41,-2.67
1.0985143184661865,3.96,6.18,-39.6,0.0,-2.16,-0.0,0.0,-45.0,1455.0,1545.0,-0.017,-1.303,0.03,6.18,4.42,-2.97
1.1981902122497559,2.75,2.76,-27.51,0.0,-0.97,-0.0,0.0,-31.0,1469.0,1531.0,0.041,-1.319,0.005,2.76,-2.23,-1.93
1.2993521690368652,2.5,14.48,-25.02,0.0,-5.07,-0.0,0.0,-33.0,1467.0,1533.0,-0.037,-1.317,-0.059,14.48,-13.28,-0.16
1.3984031677246094,3.4,11.61,-33.96,0.0,-4.06,-0.0,0.0,-41.0,1459.0,1541.0,0.033,-1.306,0.04,11.61,-9.99,-0.71
1.4985620975494385,4.89,-5.48,-48.85,0.0,1.92,-0.0,0.0,-51.0,1449.0,1551.0,-0.001,-1.285,0.22,-5.48,-3.94,-1.32
1.5966720581054688,5.03,4.29,-34.93,0.0,-4.08,-0.0,0.0,-42.0,1458.0,1542.0,0.011,-1.238,0.268,4.29,-6.93,-0.9
1.6991040706634521,3.56,18.45,-35.65,0.0,-6.46,-0.0,0.0,-46.0,1454.0,1546.0,-0.002,-1.292,0.106,18.45,-12.06,-0.16
1.7984602451324463,3.39,14.6,-33.94,0.0,-5.11,-0.0,0.0,-42.0,1458.0,1542.0,-0.024,-1.287,0.054,14.6,-11.33,0.39
1.8986570835113525,2.64,16.92,-26.42,0.0,-5.92,-0.0,0.0,-35.0,1465.0,1535.0,0.006,-1.356,0.109,16.92,-15.17,1.0
1.9992830753326416,2.0,10.33,-19.99,0.0,-3.61,-0.0,0.0,-25.0,1475.0,1525.0,-0.019,-1.377,-0.039,10.33,-16.64,-0.29
2.0987751483917236,2.58,9.9,-25.78,0.0,-3.47,-0.0,0.0,-32.0,1468.0,1532.0,0.042,-1.298,0.023,9.9,-2.72,-2.3
2.198629140853882,2.44,8.99,-24.45,0.0,-3.14,-0.0,0.0,-30.0,1470.0,1530.0,-0.008,-1.325,-0.025,8.99,2.16,-1.45
2.2991602420806885,2.85,25.89,-28.46,0.0,-9.06,-0.0,0.0,-41.0,1459.0,1541.0,0.017,-1.301,0.087,25.89,-23.72,-0.23
2.398672342300415,2.88,5.02,-28.75,0.0,-1.76,-0.0,0.0,-33.0,1467.0,1533.0,-0.016,-1.264,-0.034,5.02,-4.37,0.39
2.499110221862793,3.57,3.0,-35.68,0.0,-1.05,-0.0,0.0,-40.0,1460.0,1540.0,-0.021,-1.27,0.024,3.0,-2.29,-0.71
2.5982742309570312,4.14,3.92,-41.44,0.0,-1.37,-0.0,0.0,-47.0,1453.0,1547.0,0.017,-1.283,0.068,3.92,15.34,-1.81
2.6986513137817383,3.95,-3.1,-39.49,0.0,1.08,-0.0,0.0,-42.0,1458.0,1542.0,-0.005,-1.345,0.009,-3.1,7.84,-0.1
2.7987561225891113,2.35,22.41,-23.5,0.0,-7.84,-0.0,0.0,-34.0,1466.0,1534.0,-0.012,-1.301,0.049,22.41,-3.15,0.08
2.898498058319092,3.74,7.46,-37.37,0.0,-2.61,-0.0,0.0,-43.0,1457.0,1543.0,-0.049,-1.326,-0.019,7.46,-27.26,0.39
2.9989311695098877,2.18,10.15,-21.8,0.0,-3.55,-0.0,0.0,-27.0,1473.0,1527.0,-0.009,-1.321,-0.005,10.15,-23.17,-0.71
3.0990242958068848,1.31,26.32,-13.07,0.0,-9.21,-0.0,0.0,-24.0,1476.0,1524.0,-0.008,-1.382,-0.077,26.32,-14.81,-0.29
3.1991403102874756,3.25,-4.75,-32.54,0.0,1.66,-0.0,0.0,-33.0,1467.0,1533.0,0.027,-1.316,-0.017,-4.75,-25.98,-2.12
3.2989561557769775,2.24,24.12,-22.37,0.0,-8.44,-0.0,0.0,-33.0,1467.0,1533.0,-0.003,-1.297,0.002,24.12,-9.01,-1.14
3.3984572887420654,4.62,3.8,-46.25,0.0,-1.33,-0.0,0.0,-52.0,1448.0,1552.0,0.006,-1.309,0.006,3.8,-15.11,3.13
3.4987189769744873,2.12,2.7,-21.19,0.0,-0.94,-0.0,0.0,-24.0,1476.0,1524.0,-0.05,-1.294,-0.028,2.7,-6.45,0.02
3.5990452766418457,4.36,12.4,-43.61,0.0,-4.34,-0.0,0.0,-52.0,1448.0,1552.0,0.013,-1.278,0.111,12.4,-13.95,1.36
3.6989309787750244,4.49,-2.67,-44.94,0.0,0.94,-0.0,0.0,-48.0,1452.0,1548.0,-0.004,-1.259,0.015,-2.67,7.47,-1.02
3.7987382411956787,2.75,11.92,-27.46,0.0,-4.17,-0.0,0.0,-34.0,1466.0,1534.0,-0.004,-1.323,0.027,11.92,-9.38,-0.59
3.898552179336548,4.64,2.21,-46.42,0.0,-0.77,-0.0,0.0,-51.0,1449.0,1551.0,0.019,-1.378,0.144,2.21,-23.23,1.24
3.998699188232422,4.16,6.42,-41.64,0.0,-2.25,-0.0,0.0,-48.0,1452.0,1548.0,0.005,-1.261,0.086,6.42,-12.73,-0.65
4.09923529624939,2.79,18.32,-27.86,0.0,-6.41,-0.0,0.0,-37.0,1463.0,1537.0,-0.04,-1.265,0.027,18.32,-13.16,-0.84
4.198789119720459,2.57,16.13,-25.74,0.0,-5.64,-0.0,0.0,-34.0,1466.0,1534.0,-0.019,-1.252,-0.003,16.13,-27.01,-1.32
4.298666000366211,3.05,12.59,-30.52,0.0,-4.41,-0.0,0.0,-38.0,1462.0,1538.0,0.012,-1.362,0.04,12.59,-8.89,1.18
4.398834228515625,3.85,-1.7,-38.48,0.0,0.59,-0.0,0.0,-41.0,1459.0,1541.0,-0.006,-1.223,-0.038,-1.7,10.52,-3.22
4.498881101608276,3.25,6.85,-32.45,0.0,-2.4,-0.0,0.0,-38.0,1462.0,1538.0,-0.019,-1.345,-0.087,6.85,-2.78,-0.1
4.598454236984253,3.25,17.96,-32.51,0.0,-6.29,-0.0,0.0,-42.0,1458.0,1542.0,0.04,-1.323,0.121,17.96,-19.87,-0.96
4.698887348175049,3.69,9.35,-36.88,0.0,-3.27,-0.0,0.0,-44.0,1456.0,1544.0,-0.017,-1.369,-0.024,9.35,-30.49,-0.41
4.799488067626953,2.02,20.58,-20.15,0.0,-7.2,-0.0,0.0,-30.0,1470.0,1530.0,-0.016,-1.212,0.014,20.58,-16.27,-1.87
4.89915132522583,1.67,12.46,-16.73,0.0,-4.36,-0.0,0.0,-23.0,1477.0,1523.0,-0.05,-1.286,-0.034,12.46,-8.15,-0.47
4.999072074890137,4.28,6.18,-42.81,0.0,-2.16,-0.0,0.0,-49.0,1451.0,1549.0,0.026,-1.286,0.065,6.18,-10.17,-0.47
5.098944187164307,3.65,-4.08,-36.5,0.0,1.43,-0.0,0.0,-38.0,1462.0,1538.0,-0.028,-1.232,0.015,-4.08,7.1,-3.34
5.197090148925781,3.49,-3.4,-35.91,0.0,0.42,-0.0,0.0,-39.0,1461.0,1539.0,-0.008,-1.336,0.023,-3.4,3.81,0.81
5.299087285995483,5.14,11.37,-51.35,0.0,-3.98,-0.0,0.0,-60.0,1440.0,1560.0,-0.012,-1.171,-0.004,11.37,4.05,-2.67
5.399059057235718,3.73,-5.66,-37.27,0.0,1.98,-0.0,0.0,-38.0,1462.0,1538.0,-0.03,-1.165,0.02,-5.66,7.1,-2.97
5.499172210693359,3.41,16.55,-34.12,0.0,-5.79,-0.0,0.0,-43.0,1457.0,1543.0,0.006,-1.292,0.075,16.55,-8.58,-1.39
5.59847617149353,3.4,14.78,-34.0,0.0,-5.17,-0.0,0.0,-43.0,1457.0,1543.0,0.023,-1.298,0.147,14.78,0.27,-2.79
5.699412107467651,2.75,18.81,-27.53,0.0,-6.58,-0.0,0.0,-37.0,1463.0,1537.0,-0.018,-1.287,0.068,18.81,-10.9,-0.35
5.798785209655762,3.7,1.11,-37.01,0.0,-0.39,-0.0,0.0,-41.0,1459.0,1541.0,0.008,-1.309,-0.044,1.11,-7.67,-2.0
5.898781061172485,3.37,18.81,-33.71,0.0,-6.58,-0.0,0.0,-44.0,1456.0,1544.0,-0.001,-1.31,0.053,18.81,-27.99,-0.41
6.000395059585571,2.24,21.68,-22.4,0.0,-7.59,-0.0,0.0,-32.0,1468.0,1532.0,-0.003,-1.355,0.074,21.68,-21.03,0.14
6.099164247512817,2.63,21.07,-26.33,0.0,-7.37,-0.0,0.0,-37.0,1463.0,1537.0,-0.009,-1.337,0.08,21.07,-22.56,1.06
6.198386192321777,3.96,7.4,-39.57,0.0,-2.59,-0.0,0.0,-46.0,1454.0,1546.0,-0.022,-1.295,0.032,7.4,-13.4,0.02
6.2983622550964355,3.94,10.88,-39.44,0.0,-3.81,-0.0,0.0,-47.0,1453.0,1547.0,0.054,-1.349,0.172,10.88,8.39,-2.67
6.398069143295288,4.64,-0.54,-46.41,0.0,0.19,-0.0,0.0,-50.0,1450.0,1550.0,0.011,-1.337,0.153,-0.54,-7.73,0.2
6.498937129974365,3.92,25.16,-39.21,0.0,-8.81,-0.0,0.0,-52.0,1448.0,1552.0,0.012,-1.255,0.077,25.16,-15.42,-0.53
6.598992347717285,3.34,19.48,-33.41,0.0,-6.82,-0.0,0.0,-44.0,1456.0,1544.0,-0.013,-1.322,0.064,19.48,-18.71,0.02
6.698577165603638,3.31,7.4,-33.15,0.0,-2.59,-0.0,0.0,-39.0,1461.0,1539.0,-0.001,-1.336,0.036,7.4,-15.11,0.26
