t,Angle,dAngle,P,I,D,k_speed,Speed,power,powerL,powerR,accX,accY,accZ,gyroX,gyroY,gyroZ
0.0020220279693603516,9.15,84.2,-137.19,119.12,-84.2,52.4,-10.48,-49.0,1451.0,1549.0,0.034,0.251,2.926,84.2,-0.1,-1.45
0.004111051559448242,7.52,-32.75,-112.76,131.87,32.75,40.47,-8.09,92.0,1592.0,1408.0,-0.065,0.133,1.19,-32.75,66.49,-1.58
0.005190849304199219,7.9,-111.3,-118.43,140.73,111.3,23.91,-4.78,157.0,1657.0,1343.0,0.103,-0.173,1.398,-111.3,31.7,3.98
0.006139039993286133,-9.13,-271.76,137.01,141.25,271.76,-23.68,4.74,500.0,2000.0,1000.0,-0.021,0.105,0.648,-271.76,11.07,4.47
0.00732421875,-40.1,-496.31,601.46,123.07,496.31,-98.69,19.74,500.0,2000.0,1000.0,0.086,0.826,0.149,-496.31,12.72,-4.75
0.008643150329589844,-57.18,126.31,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.639,1.54,0.685,126.31,-231.78,-84.4
0.009578943252563477,-53.11,-3.51,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.053,1.178,0.07,-3.51,-2.05,15.88
0.010393142700195312,-53.51,-0.28,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.006,1.133,0.041,-0.28,-0.03,0.07
0.011608123779296875,-53.9,-0.34,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.004,1.156,0.024,-0.34,-0.03,0.13
0.012408018112182617,-54.06,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.001,1.152,0.022,-0.4,-0.03,0.13
0.013445138931274414,-54.25,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.0,1.151,0.026,-0.15,0.09,0.07
0.014279842376708984,-54.35,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.002,1.153,0.023,0.03,0.09,0.19
0.015071868896484375,-54.48,-0.15,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.001,1.151,0.026,-0.15,0.03,0.13
0.015869855880737305,-55.46,-2.53,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,-0.018,1.177,0.021,-2.53,-0.46,4.34
0.016698122024536133,-54.86,22.73,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.002,1.188,-0.016,22.73,-0.52,2.7
